grupo,l25,l75,IQR,sexo,info
api.rur,89.74,76.43,13.31,m,obs
api.urb,89.25,76.03,13.22,m,obs
atc,89.65,76.63,13.02,m,obs
bpc,87.22,73.27,13.95,m,obs
api.rur,92.19,78.66,13.53,f,obs
api.urb,93.01,80.45,12.56,f,obs
atc,92.83,80.43,12.40,f,obs
bpc,90.96,77.01,13.94,f,obs
api.rur,90.80,76.41,14.39,m,van
api.urb,90.62,75.94,14.68,m,van
atc,90.29,76.53,13.76,m,van
bpc,87.03,72.94,14.08,m,van
api.rur,93.03,78.64,14.39,f,van
api.urb,95.12,80.43,14.69,f,van
atc,94.93,80.44,14.49,f,van
bpc,91.94,76.88,15.06,f,van
api.rur,89.95,76.42,13.53,m,gom
api.urb,89.25,75.94,13.31,m,gom
atc,89.66,76.62,13.04,m,gom
bpc,87.14,73.22,13.91,m,gom
api.rur,92.27,78.62,13.65,f,gom
api.urb,93.56,80.45,13.11,f,gom
atc,93.15,80.44,12.71,f,gom
bpc,90.99,76.90,14.09,f,gom
api.rur,89.93,76.47,13.45,m,top
api.urb,89.30,75.98,13.32,m,top
atc,89.65,76.61,13.04,m,top
bpc,87.23,73.22,14.00,m,top
api.rur,92.64,78.65,13.99,f,top
api.urb,93.03,80.43,12.59,f,top
atc,92.96,80.48,12.48,f,top
bpc,91.04,77.02,14.03,f,top
