idade;sexo;qx
0;f;0.012652295
1;f;0.000821261
2;f;0.000516838
3;f;0.00038716
4;f;0.000313635
5;f;0.000266309
6;f;0.000233985
7;f;0.00021173
8;f;0.000197398
9;f;0.000190464
10;f;0.000191683
11;f;0.000203168
12;f;0.000238939
13;f;0.000285003
14;f;0.000331036
15;f;0.000370678
16;f;0.000421674
17;f;0.000463
18;f;0.000489323
19;f;0.000504814
20;f;0.000519054
21;f;0.000537544
22;f;0.000557365
23;f;0.000579921
24;f;0.000605332
25;f;0.000632063
26;f;0.000660774
27;f;0.000694229
28;f;0.000733516
29;f;0.000778191
30;f;0.000828918
31;f;0.000883503
32;f;0.000939059
33;f;0.000994337
34;f;0.001051968
35;f;0.001116653
36;f;0.001191718
37;f;0.001277225
38;f;0.00137483
39;f;0.001485394
40;f;0.001605838
41;f;0.001739646
42;f;0.00189471
43;f;0.002074476
44;f;0.002276053
45;f;0.002497219
46;f;0.002730866
47;f;0.002971047
48;f;0.003213963
49;f;0.003464708
50;f;0.003735195
51;f;0.004030787
52;f;0.004347303
53;f;0.004686616
54;f;0.005052536
55;f;0.005454699
56;f;0.005894052
57;f;0.006365211
58;f;0.00686917
59;f;0.007415578
60;f;0.008014891
61;f;0.008682611
62;f;0.00943228
63;f;0.010276929
64;f;0.01122085
65;f;0.012251046
66;f;0.013381283
67;f;0.014649314
68;f;0.016076378
69;f;0.017663685
70;f;0.01938024
71;f;0.021241195
72;f;0.023308387
73;f;0.02561506
74;f;0.028162853
75;f;0.030900526
76;f;0.033849942
77;f;0.037112157
78;f;0.040745016
79;f;0.044755529
80;f;0.049036282
81;f;0.05349658
82;f;0.058163746
83;f;0.063069019
84;f;0.068248429
85;f;0.073743884
86;f;0.079604549
87;f;0.085888611
88;f;0.092665562
89;f;0.100019179
90;f;0.108051483
91;f;0.116888037
92;f;0.126685151
93;f;0.137639845
94;f;0.150003808
95;f;0.164103338
96;f;0.180368328
97;f;0.199375237
98;f;0.221912046
99;f;0.249078277
100;f;0.282441159
101;f;0.324279863
102;f;0.377955283
103;f;0.448394651
104;f;0.542345931
105;f;0.666473293
106;f;0.816056725
107;f;0.946500092
108;f;0.99624698
109;f;0.999984913
110;f;1
111;f;1
0;m;0.014933226
1;m;0.000972261
2;m;0.000641454
3;m;0.000494944
4;m;0.000409829
5;m;0.000354132
6;m;0.000315757
7;m;0.000289469
8;m;0.000273248
9;m;0.000267158
10;m;0.000273168
11;m;0.000295561
12;m;0.000341892
13;m;0.000424696
14;m;0.0005643
15;m;0.001099521
16;m;0.001404968
17;m;0.001682891
18;m;0.001910772
19;m;0.002094858
20;m;0.002279251
21;m;0.002457819
22;m;0.002576187
23;m;0.002618094
24;m;0.002603035
25;m;0.002561725
26;m;0.002526631
27;m;0.002508435
28;m;0.002523114
29;m;0.002564148
30;m;0.002611107
31;m;0.002654771
32;m;0.002706997
33;m;0.002768293
34;m;0.002840545
35;m;0.002927026
36;m;0.003029445
37;m;0.003147727
38;m;0.003283126
39;m;0.003437828
40;m;0.003612488
41;m;0.003811155
42;m;0.004039384
43;m;0.004300783
44;m;0.004595032
45;m;0.004917022
46;m;0.005267917
47;m;0.005655308
48;m;0.006082146
49;m;0.006547343
50;m;0.007048613
51;m;0.007583587
52;m;0.008152612
53;m;0.008755559
54;m;0.009395173
55;m;0.01008701
56;m;0.010826687
57;m;0.011595727
58;m;0.012389512
59;m;0.013224099
60;m;0.01411708
61;m;0.015099188
62;m;0.016196977
63;m;0.017435385
64;m;0.01881645
65;m;0.02030128
66;m;0.021909055
67;m;0.023715664
68;m;0.025759851
69;m;0.028035968
70;m;0.030490459
71;m;0.033122501
72;m;0.036003424
73;m;0.039166427
74;m;0.042619437
75;m;0.046348226
76;m;0.050360462
77;m;0.054704097
78;m;0.05941225
79;m;0.064517831
80;m;0.068864661
81;m;0.073488208
82;m;0.078427232
83;m;0.083727347
84;m;0.089442637
85;m;0.095637742
86;m;0.102390579
87;m;0.109795937
88;m;0.117970269
89;m;0.127058196
90;m;0.137241426
91;m;0.148751218
92;m;0.161886057
93;m;0.1770372
94;m;0.194726297
95;m;0.215661889
96;m;0.240825896
97;m;0.271608133
98;m;0.31001705
99;m;0.35900437
100;m;0.422922545
101;m;0.507947537
102;m;0.621333234
103;m;0.764589884
104;m;0.909702889
105;m;0.988462859
106;m;0.999849389
107;m;0.999999977
108;m;1
109;m;1
110;m;1
111;m;1
